0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,P,0,0,0,0,0,_,_,_,_,0,0,0,_,_,_,_,_,0,0,0,0
_,_,_,_,_,_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_,_,_,_,0,0,0,0
0,0,0,0,0,0,T,0,P,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,_,0,_,_,_,_,_,0,0,0,0,0,0,0,0,0,0,0,0,0
